#id	rank	argument	turkID
arg618365	0.11696	yes it does with a rapidly growing population and a growing economy India is in line with china to become the greatest economic powers of the world	A1ZXXCUFJBA93V
arg131151	0.21637	To say India can not lead the world is to say that a newborn child can never walk!!! I agree that there r so many problems that the rising India is facing 2day bt we r getting better day by day!!!	A1ZXXCUFJBA93V
arg116888	0.11696	Yes. India does have the potential to lead the world. If the Indian government can look after a country with 28 states of 28 ways, culture, geographical and language, it can certainly can lead the world. For example, there is heavy rainfall in Manipur , while there is water scarcity in Rajasthan. It also has the most wonderful technological developments. Economically also India isn't that low. Eg: Chandrayaan from India discovered water on Moon. What do u say about that? And the father of astronomy, aryabhatta was from India.	A1ZXXCUFJBA93V
arg123380	0.21637	India is a secular state.people of all communities reside here so india has the knowledge of almost all countries and the way they live. so it can easily lead all the people of world without creating any nuissance among anyone.	A1ZXXCUFJBA93V
arg125962	0.11696	India moving a step ahead in becoming a world power everyday.... <br/> concerns shown by other countries says it all..... <br/> Yes we have some internal problems which country don't have... <br/> but time is river water and it brings changes..we growing as one of the leading power... <br/> I'll not compare my country with others as Napoleon said"Comparing yourself with others is same as insulting yourself" <br/> We have the 3rd largest army in the world.. <br/> we produce most no. of doctors and engineers every year (count in your own country) <br/> but still we don't like to prise ourselves because we don't believe anyone is stronger or weaker than us.... <br/> !!!!! NAMASTE!!!!	A1ZXXCUFJBA93V
arg117437	0.21637	Of course India has the POTENTIAL to lead the world, but I don't see that happening anytime soon. They have the knowledge, the manpower, and the resources to lead the world.	A1ZXXCUFJBA93V
arg150905	0.48649	India does have ptential to lead the world, but so does China! America continues to outsource good manufactoring jobs to these countries resulting in an economic boost for India and China!	A18QTARQHC83F2
arg486903	0.25676	Yes, that is true if they continue to manage the positive and effective economic agenda. The first thing they need is to promote their economic policy to every investors and their tourism. <br/> Regards, <br/> Jerwin <br/> "consultant of poster printing san francisco"	A18QTARQHC83F2
arg119329	0.25676	india is bound by water on 3 sides, some thing which most other nations do not have. this is a big advantage for india	A18QTARQHC83F2
arg618365	0.35088	yes it does with a rapidly growing population and a growing economy India is in line with china to become the greatest economic powers of the world	ALSMSDQNVZ6IZ
